timestamp,account,pnl
14:43:21,CS5-GAB5,154.85
14:48:24,CS5-GAB5,159.22
14:53:28,CS5-GAB5,162.09
14:58:31,CS5-GAB5,166.45
15:03:37,CS5-GAB5,170.34
15:08:41,CS5-GAB5,173.14
15:13:46,CS5-GAB5,176.23
15:18:52,CS5-GAB5,179.10
15:23:57,CS5-GAB5,182.28
15:29:02,CS5-GAB5,184.69
15:34:06,CS5-GAB5,187.51
15:39:10,CS5-GAB5,191.17
15:44:14,CS5-GAB5,192.26
15:49:19,CS5-GAB5,194.88
15:54:23,CS5-GAB5,198.67
15:59:27,CS5-GAB5,200.76
07:50:34,CS5-GAB5,0.00
07:55:37,CS5-GAB5,0.00
08:00:39,CS5-GAB5,0.00
08:05:41,CS5-GAB5,0.00
08:10:44,CS5-GAB5,0.00
08:15:47,CS5-GAB5,0.00
08:20:49,CS5-GAB5,0.00
08:25:52,CS5-GAB5,0.00
08:30:54,CS5-GAB5,0.00
08:35:56,CS5-GAB5,0.00
08:40:59,CS5-GAB5,0.00
08:46:01,CS5-GAB5,0.00
08:51:04,CS5-GAB5,0.00
08:56:06,CS5-GAB5,0.00
09:01:09,CS5-GAB5,0.00
09:06:11,CS5-GAB5,0.00
09:11:14,CS5-GAB5,0.00
09:16:16,CS5-GAB5,0.00
09:21:19,CS5-GAB5,0.00
09:26:21,CS5-GAB5,0.00
09:31:26,CS5-GAB5,0.00
09:36:28,CS5-GAB5,1.05
09:41:30,CS5-GAB5,3.80
09:46:32,CS5-GAB5,8.54
09:51:35,CS5-GAB5,12.74
09:56:37,CS5-GAB5,16.87
10:01:39,CS5-GAB5,19.88
10:06:42,CS5-GAB5,25.12
10:11:44,CS5-GAB5,30.75
10:16:47,CS5-GAB5,36.12
10:21:49,CS5-GAB5,41.43
10:26:52,CS5-GAB5,46.38
10:31:55,CS5-GAB5,52.22
10:36:57,CS5-GAB5,57.09
10:42:00,CS5-GAB5,58.50
10:47:02,CS5-GAB5,64.35
10:52:05,CS5-GAB5,74.05
10:57:08,CS5-GAB5,80.91
11:02:10,CS5-GAB5,88.82
11:07:13,CS5-GAB5,96.61
11:12:15,CS5-GAB5,103.03
11:17:19,CS5-GAB5,109.91
11:22:21,CS5-GAB5,116.28
11:27:25,CS5-GAB5,122.81
11:32:28,CS5-GAB5,127.41
11:37:32,CS5-GAB5,133.36
11:42:35,CS5-GAB5,139.01
11:47:38,CS5-GAB5,143.82
11:52:40,CS5-GAB5,150.88
11:57:43,CS5-GAB5,154.27
12:02:46,CS5-GAB5,158.93
12:07:49,CS5-GAB5,163.35
12:12:51,CS5-GAB5,167.27
12:17:54,CS5-GAB5,170.10
12:22:57,CS5-GAB5,175.16
12:27:59,CS5-GAB5,179.83
12:33:02,CS5-GAB5,183.04
12:38:05,CS5-GAB5,185.10
12:43:09,CS5-GAB5,186.51
12:48:12,CS5-GAB5,188.82
12:53:15,CS5-GAB5,191.93
12:58:18,CS5-GAB5,194.10
13:03:21,CS5-GAB5,198.27
13:08:24,CS5-GAB5,200.67
13:13:27,CS5-GAB5,201.53
13:18:30,CS5-GAB5,203.16
13:23:33,CS5-GAB5,205.71
13:28:36,CS5-GAB5,206.55
13:33:40,CS5-GAB5,207.94
13:38:43,CS5-GAB5,212.54
13:43:46,CS5-GAB5,216.71
13:48:48,CS5-GAB5,219.63
13:53:51,CS5-GAB5,221.75
13:58:54,CS5-GAB5,224.16
14:03:57,CS5-GAB5,226.21
14:09:00,CS5-GAB5,229.21
14:14:03,CS5-GAB5,232.26
14:19:06,CS5-GAB5,236.80
14:24:08,CS5-GAB5,238.69
14:29:12,CS5-GAB5,242.18
14:34:15,CS5-GAB5,243.68
14:39:17,CS5-GAB5,245.64
14:44:20,CS5-GAB5,245.73
14:49:23,CS5-GAB5,248.22
14:54:25,CS5-GAB5,250.79
14:59:28,CS5-GAB5,253.06
15:04:31,CS5-GAB5,255.44
15:09:34,CS5-GAB5,257.07
15:14:37,CS5-GAB5,259.31
15:19:40,CS5-GAB5,261.52
15:24:43,CS5-GAB5,262.87
15:29:46,CS5-GAB5,265.74
15:34:48,CS5-GAB5,269.80
15:39:51,CS5-GAB5,271.92
15:44:54,CS5-GAB5,273.70
15:49:57,CS5-GAB5,277.05
15:55:00,CS5-GAB5,280.15
16:00:03,CS5-GAB5,281.43
16:05:05,CS5-GAB5,281.55
16:10:08,CS5-GAB5,281.55
16:15:10,CS5-GAB5,281.55
16:20:13,CS5-GAB5,281.55
16:25:15,CS5-GAB5,281.55
16:30:18,CS5-GAB5,281.55
16:35:21,CS5-GAB5,281.55
16:40:23,CS5-GAB5,281.55
16:45:25,CS5-GAB5,281.55
16:50:28,CS5-GAB5,281.55
16:55:30,CS5-GAB5,281.55
08:35:47,CS5-GAB5,0.00
08:40:48,CS5-GAB5,0.00
08:45:49,CS5-GAB5,0.00
08:50:52,CS5-GAB5,0.00
08:55:53,CS5-GAB5,0.00
09:00:55,CS5-GAB5,0.00
09:05:57,CS5-GAB5,0.00
09:10:59,CS5-GAB5,0.00
09:16:00,CS5-GAB5,0.00
09:21:02,CS5-GAB5,0.00
09:26:03,CS5-GAB5,0.00
09:31:04,CS5-GAB5,0.00
09:36:06,CS5-GAB5,0.89
09:41:07,CS5-GAB5,7.56
09:46:08,CS5-GAB5,11.33
09:51:09,CS5-GAB5,14.24
09:56:12,CS5-GAB5,17.75
