timestamp,account,pnl
07:50:11,CS8-GAB4,0.00
07:55:11,CS8-GAB4,0.00
08:00:12,CS8-GAB4,0.00
08:05:12,CS8-GAB4,0.00
08:10:12,CS8-GAB4,0.00
08:15:12,CS8-GAB4,0.00
08:20:12,CS8-GAB4,0.00
08:25:12,CS8-GAB4,0.00
08:30:13,CS8-GAB4,0.00
08:35:13,CS8-GAB4,0.00
08:40:13,CS8-GAB4,0.00
08:45:13,CS8-GAB4,0.00
08:50:13,CS8-GAB4,0.00
08:53:26,CS8-GAB4,0.00
08:58:29,CS8-GAB4,0.00
09:03:30,CS8-GAB4,0.00
09:08:32,CS8-GAB4,0.00
09:13:35,CS8-GAB4,0.00
09:18:37,CS8-GAB4,0.00
09:23:40,CS8-GAB4,0.00
09:28:42,CS8-GAB4,0.00
09:33:45,CS8-GAB4,0.00
09:38:47,CS8-GAB4,3.02
09:43:50,CS8-GAB4,7.01
09:48:51,CS8-GAB4,9.90
09:53:55,CS8-GAB4,14.54
09:58:57,CS8-GAB4,15.86
10:03:58,CS8-GAB4,15.98
10:09:01,CS8-GAB4,ERR
10:14:03,CS8-GAB4,13.67
10:19:04,CS8-GAB4,18.47
10:24:06,CS8-GAB4,18.83
10:29:07,CS8-GAB4,18.83
10:34:10,CS8-GAB4,19.36
10:39:11,CS8-GAB4,21.84
10:44:13,CS8-GAB4,25.23
10:49:15,CS8-GAB4,27.82
10:54:16,CS8-GAB4,32.98
10:59:19,CS8-GAB4,38.05
11:04:21,CS8-GAB4,40.30
11:09:22,CS8-GAB4,45.37
11:14:24,CS8-GAB4,48.16
11:19:25,CS8-GAB4,51.74
11:24:27,CS8-GAB4,54.48
11:29:29,CS8-GAB4,56.35
11:34:30,CS8-GAB4,60.18
11:39:32,CS8-GAB4,62.34
11:44:33,CS8-GAB4,66.21
11:49:35,CS8-GAB4,66.11
11:54:37,CS8-GAB4,67.22
11:59:39,CS8-GAB4,70.60
12:04:41,CS8-GAB4,72.48
12:09:44,CS8-GAB4,75.73
12:14:47,CS8-GAB4,76.39
12:19:49,CS8-GAB4,79.04
12:24:52,CS8-GAB4,79.91
12:29:54,CS8-GAB4,ERR
12:31:07,CS8-GAB4,ERR
12:36:09,CS8-GAB4,84.04
12:41:11,CS8-GAB4,87.22
12:46:13,CS8-GAB4,93.19
12:51:15,CS8-GAB4,94.42
12:56:17,CS8-GAB4,98.12
13:01:18,CS8-GAB4,101.16
13:06:20,CS8-GAB4,105.45
13:11:23,CS8-GAB4,109.87
13:16:25,CS8-GAB4,112.88
13:21:28,CS8-GAB4,115.47
13:26:31,CS8-GAB4,119.61
13:31:34,CS8-GAB4,124.89
13:36:37,CS8-GAB4,130.07
13:41:40,CS8-GAB4,133.51
13:46:43,CS8-GAB4,136.53
13:51:45,CS8-GAB4,139.16
13:56:48,CS8-GAB4,141.29
14:01:53,CS8-GAB4,143.66
